"adap-org/9809003","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Autocatalytic Sets and the Growth of Complexity in an Evolutionary Model","13 pages REVTEX (including figures), 4 Postscript figures",,"10.1103/PhysRevLett.81.5684","IISc-CTS/9/98","adap-org cond-mat nlin.AO",,"  A model of $s$ interacting species is considered with two types of dynamical
variables. The fast variables are the populations of the species and slow
variables the links of a directed graph that defines the catalytic interactions
among them. The graph evolves via mutations of the least fit species. Starting
from a sparse random graph, we find that an autocatalytic set (ACS) inevitably
appears and triggers a cascade of exponentially increasing connectivity until
it spans the whole graph. The connectivity subsequently saturates in a
statistical steady state. The time scales for the appearance of an ACS in the
graph and its growth have a power law dependence on $s$ and the catalytic
probability. At the end of the growth period the network is highly non-random,
being localized on an exponentially small region of graph space for large $s$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 05:02:32 GMT""}]","2009-10-30"
"physics/9809026","James M. Nester","J.M. Nester, C.M. Ko (National Central U.)","An accelerated charge is also absorbing power","LaTeX (REVTex), 8 pages, no figures, for Phys Rev Lett",,,"NCU-CCS-980905","physics.class-ph",,"  An accelerated classical point charge radiates at the Larmor power rate
$2e^2a^2/3$, leading to the expectation of an associated radiation reaction
force. The famous Abraham-Lorentz-Dirac proposal is plagued with difficulties.
Here we note a simple, amazing, and apparently overlooked fact: an accelerated
charge is also always absorbing power at exactly the Larmor rate. Implications
for radiation reaction and the particle motion are considered. Our analysis
supports Kijowski's recent proposal.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 09:43:29 GMT""}]","2007-05-23"
"quant-ph/9809045","Timothy F. Havel","D. G. Cory, A. E. Dunlop, T. F. Havel, S. S. Somaroo, W. Zhang","The effective Hamiltonian of the Pound-Overhauser controlled-NOT gate","LaTeX2e (iopart.cls), 18 pages, 5 figures, submitted J. Phys. A","Concepts Magn.Reson.Part A 23:49-62,2004",,,"quant-ph math-ph math.MP",,"  In NMR-based quantum computing, it is known that the controlled-NOT gate can
be implemented by applying a low-power, monochromatic radio-frequency field to
one peak of a doublet in a weakly-coupled two-spin system. This is known in NMR
spectroscopy as Pound-Overhauser double resonance. The ``transition''
Hamiltonian that has been associated with this procedure is however only an
approximation, which ignores off-resonance effects and does not correctly
predict the associated phase factors. In this paper, the exact effective
Hamiltonian for evolution of the spins' state in a rotating frame is derived,
both under irradiation of a single peak (on-transition) as well as between the
peaks of the doublet (on-resonance). The accuracy of these effective
Hamiltonians is validated by comparing the observable product operator
components of the density matrix obtained by simulation to those obtained by
fitting the corresponding experiments. It is further shown how both the
on-transition and on-resonance fields can be used to implement the
controlled-NOT gate exactly up to conditional phases, and analytic expressions
for these phases are derived. In Appendices, the on-resonance Hamiltonian is
analytically diagonalized, and proofs are given that, in the weak-coupling
approximation, off-resonance effects can be neglected whenever the
radio-frequency field power is small compared to the difference in resonance
frequencies of the two spins.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:41:10 GMT""}]","2010-04-23"
"quant-ph/9809046",,"G. K\""albermann (Cyclotron Institute, Texas A&M University College
  Station, TX, USA)","Coherent polychotomous waves from an attractive well","Latex, 8 eps figures",,"10.1103/PhysRevA.60.2573",,"quant-ph nucl-th",,"  A novel effect of a wave packet scattering off an attractive one- dimensional
well is found numerically and analytically. For a wave packet narrower than the
width of the well, the scattering proceeds through a quasi-bound state of
almost zero energy. The wave reflected from the well is a polychotomous
(multiple peak) monochromatic and coherent train. The transmitted wave is a
spreading smooth wave packet. The effect is strong for low average speeds of
the packet, and it disappears for wide packets.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:31:19 GMT""}]","2009-10-31"
"quant-ph/9809047","Hans-Peter Thienel","H.-P. Thienel","Quantum mechanics of an electron in a homogeneous magnetic field and a
  singular magnetic flux tube","23 pages, LaTeX, minor changes","Annals Phys. 280 (2000) 140-162","10.1006/aphy.1999.5985","Si-98-9","quant-ph cond-mat.mes-hall hep-th math-ph math.MP",,"  The eigenvalue problem of the Hamiltonian of an electron confined to a plane
and subjected to a perpendicular time-independent magnetic field which is the
sum of a homogeneous field and an additional field contributed by a singular
flux tube, i.e. of zero width, is investigated. Since both a direct approach
based on distribution-valued operators and a limit process starting from a
non-singular flux tube, i.e. of finite size, fail, an alternative method is
applied leading to consistent results. An essential feature is quantum
mechanical supersymmetry at g=2 which imposes, by proper representation, the
correct choice of ""boundary conditions"". The corresponding representation of
the Hilbert space in coordinate space differs from the usual space of
square-integrable 2-spinors, entailing other unusual properties. The analysis
is extended to $g\ne 2$ so that supersymmetry is explicitly broken. Finally,
the singular Aharonov-Bohm system with the same amount of singular flux is
analysed by making use of the fact that the Hilbert space must be the same.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 18:45:31 GMT""},{""version"":""v2"",""created"":""Thu, 1 Jun 2000 10:43:49 GMT""}]","2009-10-31"
"quant-ph/9809048","Masanao Ozawa","Masanao Ozawa (Nagoya University)","Measurability and Computability","8 pages, RevTeX",,,,"quant-ph",,"  The conceptual relation between the measurability of quantum mechanical
observables and the computability of numerical functions is re-examined. A new
formulation is given for the notion of measurability with finite precision in
order to reconcile the conflict alleged by M. A. Nielsen [Phys. Rev. Lett. 79,
2915 (1997)] that the measurability of a certain observable contradicts the
Church-Turing thesis. It is argued that any function computable by a quantum
algorithm is a recursive function obeying the Church-Turing thesis, whereas any
observable can be measured in principle.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 20:11:45 GMT""}]","2007-05-23"
"quant-ph/9809049","S. Wallentowitz","S. Wallentowitz, W. Vogel, and P.L. Knight","High-order nonlinearities in the motion of a trapped atom","8 pages, 3 figures (to be published in Phys. Rev. A)",,"10.1103/PhysRevA.59.531",,"quant-ph",,"  We study the counterpart to the multi-photon down conversion in the quantised
motion of a trapped atom. The Lamb-Dicke approximation leads to a divergence of
the mean motional excitation in a finite interaction time for k-quantum down
conversions with k>=3, analogous to the situation in the parametric
approximation of nonlinear optics. We show that, in contrast to the Lamb-Dicke
approximation, the correct treatment of the overlap of the atomic
center-of-mass wave function and the driving laser waves leads to a proper
dynamics without any divergence problem. That is, the wavy nature of both
matter and light is an important physical property which cannot be neglected
for describing the motional dynamics of a trapped atom, even for small
Lamb-Dicke parameters.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 09:34:21 GMT""}]","2016-09-08"
"quant-ph/9809050","Constantin Brif","G. Ramon, C. Brif, and A. Mann (Technion, Haifa)","Governing dynamics by squeezing in a system of cold trapped ions","REVTeX, 5 pages, 2 figures, to appear in Phys. Rev. A",,"10.1103/PhysRevA.59.736",,"quant-ph",,"  We consider a system of laser-cooled ions in a linear harmonic trap and study
the phenomenon of squeezing exchange between their internal and motional
degrees of freedom. An interesting relation between the quantum noise reduction
(squeezing) and the dynamical evolution is found when the internal and motional
subsystems are prepared in properly squeezed (intelligent) states.
Specifically, the evolution of the system is fully governed by the relative
strengths of spectroscopic and motional squeezing, including the phenomenon of
total cancellation of the interaction when the initial squeezing parameters are
equal.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 12:52:41 GMT""}]","2009-10-31"
"quant-ph/9809051","Constantin Brif","G. Ramon, C. Brif, and A. Mann (Technion, Haifa)","Collective effects in the collapse-revival phenomenon and squeezing in
  the Dicke model","REVTeX, 13 pages, 19 figures, published in PRA","Phys.Rev. A58 (1998) 2506","10.1103/PhysRevA.58.2506",,"quant-ph",,"  Resonant interaction of a collection of two-level atoms with a single-mode
coherent cavity field is considered in the framework of the Dicke model. We
focus on the role of collective atomic effects in the phenomenon of collapses
and revivals of the Rabi oscillations. It is shown that the behavior of the
system strongly depends on the initial atomic state. In the case of the initial
half-excited Dicke state we account for a number of interesting phenomena. The
correlations between the atoms result in a suppression of the revival
amplitude, and the revival time is halved, compared to the uncorrelated
fully-excited and ground states. The phenomenon of squeezing of the radiation
field in the atom-field interaction is also discussed. For the initial
fully-excited and ground atomic states, the field is squeezed on the short-time
scale, and squeezing can be enhanced by increasing the number of atoms. Some
empirical formulas are found which describe the behavior of the system in
excellent agreement with numerical results. For the half-excited Dicke state,
the field can be strongly squeezed on the long-time scale in the case of two
atoms. This kind of squeezing is enhanced by increasing the intensity of the
initial coherent field and is of the same nature as revival-time squeezing in
the Jaynes-Cummings model. The appearance of this long-time squeezing can be
explained using the factorization approximation for semiclassical atomic
states.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:37:08 GMT""}]","2009-10-31"
"quant-ph/9809052","Constantin Brif","C. Brif and A. Mann (Technion, Haifa)","Phase-space formulation of quantum mechanics and quantum state
  reconstruction for physical systems with Lie-group symmetries","REVTeX, 18 pages, no figures",,"10.1103/PhysRevA.59.971",,"quant-ph",,"  We present a detailed discussion of a general theory of phase-space
distributions, introduced recently by the authors [J. Phys. A {\bf 31}, L9
(1998)]. This theory provides a unified phase-space formulation of quantum
mechanics for physical systems possessing Lie-group symmetries. The concept of
generalized coherent states and the method of harmonic analysis are used to
construct explicitly a family of phase-space functions which are postulated to
satisfy the Stratonovich-Weyl correspondence with a generalized traciality
condition. The symbol calculus for the phase-space functions is given by means
of the generalized twisted product. The phase-space formalism is used to study
the problem of the reconstruction of quantum states. In particular, we consider
the reconstruction method based on measurements of displaced projectors, which
comprises a number of recently proposed quantum-optical schemes and is also
related to the standard methods of signal processing. A general group-theoretic
description of this method is developed using the technique of harmonic
expansions on the phase space.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:07:10 GMT""}]","2009-10-31"
"quant-ph/9809053","Tilo Stroh","S. Brandt, H.D. Dahmen, E. Gjonaj, T. Stroh (Department of Physics,
  Siegen University, Siegen, Germany)","Quantile Motion and Tunneling","13 pages, LaTeX, elsart, 3 ps figures, submitted to Phys. Lett. A","Phys.Lett. A249 (1998) 265-270","10.1016/S0375-9601(98)00730-0",,"quant-ph",,"  The concepts of quantile position, trajectory, and velocity are defined. For
a tunneling quantum mechanical wave packet, it is proved that its quantile
position always stays behind that of a free wave packet with the same initial
parameters. In quantum mechanics the quantile trajectories are mathematically
identical to Bohm's trajectories. A generalization to three dimensions is
given.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:29:56 GMT""}]","2009-10-31"
